x,y,z,cluster,original_path
-3.1213624,23.045706,-10.808345,1,D:\pycharm\WebCrawler\故宫文物数据\铜器_裁切1\五代十国\鹦鹉纹镜_新00117069_HD_rank2_std15.jpg
14.205056,16.068487,-8.526706,1,D:\pycharm\WebCrawler\故宫文物数据\铜器_裁切1\五代十国\鹦鹉纹镜_新00117069_HD_rank3_std17.jpg
-6.0894475,19.935644,-3.0506575,2,D:\pycharm\WebCrawler\故宫文物数据\铜器_裁切1\五代十国\鹦鹉纹镜_新00117069_HD_rank4_std19.jpg
11.676666,7.432714,-15.029213,1,D:\pycharm\WebCrawler\故宫文物数据\铜器_裁切1\元\三十五年镜_新00043072_HD_rank0_std13.jpg
28.040667,2.3904128,-9.026586,0,D:\pycharm\WebCrawler\故宫文物数据\铜器_裁切1\元\三十五年镜_新00043072_HD_rank1_std14.jpg
12.561584,7.3203926,-15.283007,1,D:\pycharm\WebCrawler\故宫文物数据\铜器_裁切1\元\三十五年镜_新00043072_HD_rank2_std15.jpg
11.644847,7.4983397,-15.004723,1,D:\pycharm\WebCrawler\故宫文物数据\铜器_裁切1\元\三十五年镜_新00043072_HD_rank3_std15.jpg
11.406773,7.4624486,-14.944311,1,D:\pycharm\WebCrawler\故宫文物数据\铜器_裁切1\元\三十五年镜_新00043072_HD_rank4_std16.jpg
21.0305,-0.13045196,-11.674023,0,D:\pycharm\WebCrawler\故宫文物数据\铜器_裁切1\元\云凤纹镜_新00107395_HD_rank0_std21.jpg
24.197393,-4.102283,-7.65316,0,D:\pycharm\WebCrawler\故宫文物数据\铜器_裁切1\元\云凤纹镜_新00107395_HD_rank1_std22.jpg
20.89243,-0.0396452,-11.625162,0,D:\pycharm\WebCrawler\故宫文物数据\铜器_裁切1\元\云凤纹镜_新00107395_HD_rank2_std23.jpg
22.31317,-0.48765528,-12.212549,0,D:\pycharm\WebCrawler\故宫文物数据\铜器_裁切1\元\云凤纹镜_新00107395_HD_rank3_std23.jpg
22.069494,-1.5393876,-12.529946,0,D:\pycharm\WebCrawler\故宫文物数据\铜器_裁切1\元\云凤纹镜_新00107395_HD_rank4_std24.jpg
3.8667197,8.563918,-13.073825,1,D:\pycharm\WebCrawler\故宫文物数据\铜器_裁切1\元\人物纹镜_新00060980_HD_rank0_std10.jpg
27.700644,3.625394,-7.6974416,0,D:\pycharm\WebCrawler\故宫文物数据\铜器_裁切1\元\人物纹镜_新00060980_HD_rank1_std13.jpg
16.29422,-1.7061906,-9.140273,0,D:\pycharm\WebCrawler\故宫文物数据\铜器_裁切1\元\人物纹镜_新00060980_HD_rank2_std15.jpg
16.279787,-1.8115349,-9.138663,0,D:\pycharm\WebCrawler\故宫文物数据\铜器_裁切1\元\人物纹镜_新00060980_HD_rank3_std18.jpg
